Time,t,structuralLive,structuralRotation,sessiond,relayd
2025-07-01 10:35:33,417,0.4442857,0,0.005,0.5871429
2025-07-01 10:35:34,418,0.4442857,0,0.0057143,0.5864286
2025-07-01 10:35:35,419,0.4435714,0,0.0057143,0.5871429
2025-07-01 10:35:36,420,0.4442857,0,0.0057143,0.5864286
2025-07-01 10:35:37,421,0.4435714,0,0.005,0.5871429
2025-07-01 10:35:38,422,0.4435714,0,0.005,0.5864286
2025-07-01 10:35:39,423,0.4442857,0,0.005,0.5864286
2025-07-01 10:35:40,424,0.4435714,0,0.005,0.5857143
2025-07-01 10:35:41,425,0.4442857,0,0.005,0.5864286
2025-07-01 10:35:42,426,0.4449682,0,0.0042854,0.5856725
2025-07-01 10:35:43,427,0.4442857,0,0.0035714,0.5857143
2025-07-01 10:35:44,428,0.445,0,0.005,0.5864286
2025-07-01 10:35:45,429,0.4443175,0,0.0050004,0.5864705
2025-07-01 10:35:46,430,0.4436031,0,0.0050004,0.5864705
2025-07-01 10:35:47,431,0.4435714,0,0.005,0.5857143
2025-07-01 10:35:48,432,0.4443175,0,0.0035717,0.5864705
2025-07-01 10:35:49,433,0.4449682,0,0.0049996,0.5856725
2025-07-01 10:35:50,434,0.4442857,0,0.005,0.5864286
2025-07-01 10:35:51,435,0.4442857,0,0.005,0.5864286
2025-07-01 10:35:52,436,0.445,0,0.0042857,0.5864286
2025-07-01 10:35:53,437,0.444254,0,0.0042854,0.5871009
2025-07-01 10:35:54,438,0.445,0,0.005,0.5871429
2025-07-01 10:35:55,439,0.4443175,0,0.004286,0.5871848
2025-07-01 10:35:56,440,0.4436031,0,0.0050004,0.5871848
2025-07-01 10:35:57,441,0.4443175,0,0.0057147,0.5871848
2025-07-01 10:35:58,442,0.4435714,0,0.0042857,0.5864286
2025-07-01 10:35:59,443,0.4435714,0,0.0042857,0.5864286
2025-07-01 10:36:00,444,0.4442857,0,0.0035714,0.5864286
2025-07-01 10:36:01,445,0.444254,0,0.0042854,0.5863867
2025-07-01 10:36:02,446,0.444254,0,0.0042854,0.5863867
2025-07-01 10:36:03,447,0.4428888,0,0.0028573,0.5864705
2025-07-01 10:36:04,448,0.4435397,0,0.0028569,0.5856725
2025-07-01 10:36:05,449,0.4442857,0,0.0042857,0.5857143
2025-07-01 10:36:06,450,0.4435397,0,0.0057139,0.5856725
2025-07-01 10:36:07,451,0.4436031,0,0.0057147,0.5850418
2025-07-01 10:36:08,452,0.4435714,0,0.005,0.5857143
2025-07-01 10:36:09,453,0.4435714,0,0.005,0.5857143
2025-07-01 10:36:10,454,0.4435714,0,0.005,0.5857143
2025-07-01 10:36:11,455,0.4435714,0,0.0042857,0.5857143
2025-07-01 10:36:12,456,0.4442857,0,0.005,0.5857143
2025-07-01 10:36:13,457,0.4442857,0,0.0057143,0.5864286
2025-07-01 10:36:14,458,0.4435714,0,0.0057143,0.5864286
2025-07-01 10:36:15,459,0.4443175,0,0.0050004,0.5864705
2025-07-01 10:36:16,460,0.4443175,0,0.0050004,0.5857561
2025-07-01 10:36:17,461,0.445,0,0.0057143,0.5857143
2025-07-01 10:36:18,462,0.445,0,0.0057143,0.5871429
2025-07-01 10:36:19,463,0.444254,0,0.0057139,0.5863867
2025-07-01 10:36:20,464,0.4443175,0,0.0050004,0.5864705
2025-07-01 10:36:21,465,0.4449682,0,0.0057139,0.5863867
2025-07-01 10:36:22,466,0.4442857,0,0.0057143,0.5864286
2025-07-01 10:36:23,467,0.4442857,0,0.0057143,0.5857143
2025-07-01 10:36:24,468,0.445,0,0.005,0.5864286
2025-07-01 10:36:25,469,0.4442857,0,0.0057143,0.5857143
2025-07-01 10:36:26,470,0.4442857,0,0.0057143,0.5864286
2025-07-01 10:36:27,471,0.445,0,0.005,0.5864286
2025-07-01 10:36:28,472,0.445,0,0.0057143,0.5864286
